Package,Rank,Overall,Github,Stack Overflow,Downloads
d3-context-menu,70,-0.811430709374,-0.473994534477,-0.12916126415,-0.208274910747
d3.chart,71,-0.81311844875,-0.215494953283,-0.12916126415,-0.468462231317
d3.chart,71,-0.81311844875,-0.215494953283,-0.12916126415,-0.468462231317
d3act,73,-0.823436379584,-0.424921054487,-0.12916126415,-0.269354060947
d3-annotate,74,-0.874860256429,-0.528550664999,-0.12916126415,-0.217148327279
vizabi,75,-0.885068667939,-0.43163036963,-0.12916126415,-0.324277034159
d4,76,-0.902876159787,-0.378368451524,-0.12916126415,-0.395346444112
d3-dot,77,-0.904725122361,-0.505582170319,-0.12916126415,-0.269981687891
d3-svg-ribbon,78,-0.909193356119,-0.528550664999,-0.12916126415,-0.251481426969
d3-scale-cluster,79,-0.916917024081,-0.516930679539,-0.12916126415,-0.270825080392
d3fc,80,-0.91907839174,-0.368042862055,-0.128970789274,-0.422064740411
dtree,81,-0.932439609554,-0.487185138337,-0.12916126415,-0.316093207067
sankey,82,-0.932638531067,-0.370554063172,-0.12916126415,-0.432923203745
react-d3-library,83,-0.93807673563,-0.299491191289,-0.12916126415,-0.50942428019
d3-lasso,84,-0.9617815809,-0.511952094268,-0.12916126415,-0.320668222481
d3-helpers,85,-0.97955193777,-0.528962717315,-0.12916126415,-0.321427956305
d3-heatmap,86,-0.986203298257,-0.476951561812,-0.122134229195,-0.38711750725
graph-scroll,87,-0.995654232472,-0.401627774267,-0.12916126415,-0.464865194054
d3plus-text,88,-1.00243933399,-0.52385323188,-0.12916126415,-0.349424837963
d3-component,89,-1.01361812846,-0.519708427153,-0.12916126415,-0.364748437161
jsdoc2diagram,90,-1.02266937254,-0.519839327318,-0.12916126415,-0.373668781069
maptable,91,-1.02792101386,-0.515738155979,-0.12916126415,-0.383021593726
d3-circle,92,-1.03270045888,-0.505810013171,-0.12916126415,-0.397729181556
bullet chart,93,-1.03526188704,-0.52352844634,-0.128742219423,-0.382991221277
d3-tipy,94,-1.03576584956,-0.512417455884,-0.12916126415,-0.394187129522
simple map,95,-1.0561797519,-0.512451413361,-0.12916126415,-0.414567074389
d3-bar,96,-1.07286438925,-0.493681032708,-0.12916126415,-0.450022092396
n3-charts,97,-1.11155058605,-0.534430945767,-0.128742219423,-0.448377420859
d3-funnel,98,-1.16144737042,-0.408458313664,-0.12916126415,-0.623827792609
d3-svg-circularbrush,99,-1.29817792002,-0.521075484266,-0.12916126415,-0.647941171599
spam,100,-1.34663901409,-0.503337699275,-0.12916126415,-0.714140050662
d3-line,101,-1.38760243978,-0.50585364656,-0.12916126415,-0.752587529074
xkcdplot,102,-1.48925719388,-0.534430945767,-0.12916126415,-0.825664983962
