Library,Rank,Overall,Github,Stack Overflow,Google Results
mapdb,66,-0.0510334375506,0.226200847904,-0.133512078101,-0.143722207353
aerospike,67,-0.0754906478595,-0.401422723925,-0.122207080346,0.448139156412
clickhouse,68,-0.0813167364342,0.295234012007,-0.133909904781,-0.24264084366
kyoto tycoon,69,-0.0933402547098,-0.401422723925,-0.136359177899,0.444441647114
riak ts,70,-0.124994005876,0.141086147556,-0.135611589586,-0.130468563845
apache drill,71,-0.135885202972,-0.0270148558815,-0.124398542057,0.0155281949669
citus,72,-0.229509791424,-0.0168939931462,-0.135392417509,-0.0772233807682
interbase,73,-0.250184795374,-0.401422723925,-0.125951303978,0.277189232528
firebird,74,-0.267496655826,-0.35071808352,-0.0575986301698,0.140820057864
bigchaindb,75,-0.272333552033,0.0718569428606,-0.135805045285,-0.208385449608
cubrid,76,-0.273484464446,-0.370373917609,-0.135947003468,0.23283645663
vertica,77,-0.307786378199,-0.401422723925,-0.106985645716,0.200621991442
graphite,78,-0.310779466008,-0.401422723925,-0.108481858558,0.199125116476
hyperleveldb,79,-0.33591532146,-0.334383425284,-0.136449185218,0.134917289043
voltdb,80,-0.364360223823,-0.137815094624,-0.133343496852,-0.0932016323473
litedb,81,-0.372155238446,0.136492743521,-0.135083108586,-0.373564873382
project voldemort,82,-0.374247521119,0.0485692213835,-0.136102014129,-0.286714728373
redland,83,-0.429940093851,-0.401422723925,-0.135147982401,0.106630612475
webscalesql,84,-0.430026650422,0.105295496386,-0.136449185218,-0.39887296159
tarantool,85,-0.434364533686,-0.111063985245,-0.134502935778,-0.188797612663
informix,86,-0.438789809721,-0.401422723925,-0.0879033920653,0.050536306269
tokyo tyrant,87,-0.441464065846,-0.401422723925,-0.135457485615,0.0954161436942
nosdb,88,-0.45087017874,-0.389908851984,-0.136397622937,0.0754362961813
pipelinedb,89,-0.464951139519,-0.152888768116,-0.135289292947,-0.176773078456
netezza,90,-0.471593705447,-0.401422723925,-0.110117344511,0.0399463629893
cratedb,91,-0.482211760246,-0.0668388385603,-0.13495433241,-0.280418589275
virtuoso,92,-0.482722590688,-0.292623166687,-0.12377062802,-0.0663287959813
infinispan,93,-0.486139327393,-0.1482265311,-0.112823228291,-0.225089568002
origodb,94,-0.498318314953,-0.377645174823,-0.136397622937,0.0157244828069
flockdb,95,-0.500403646186,0.0629245104494,-0.136114418972,-0.427213737663
dbase,96,-0.507807023,-0.401422723925,-0.110691483839,0.0043071847643
bergdb,97,-0.522206161913,-0.401422723925,-0.136449185218,0.0156657472299
couchbase,98,-0.546813826536,-0.401422723925,-0.0575553926262,-0.0878357099846
janusgraph,99,-0.548483448046,-0.1081236867,-0.131228925217,-0.309130836129
xapian,100,-0.549262280714,-0.275561896066,-0.132456799955,-0.141243584693
comdb2,101,-0.549398673219,-0.281145611518,-0.136423468841,-0.13182959286
snappydata,102,-0.555021664712,-0.268318179957,-0.133871071162,-0.152832413594
agensgraph,103,-0.55646698697,-0.320851280942,-0.136269170579,-0.0993465354483
jackrabbit,104,-0.572211704456,-0.321914305031,-0.119156451495,-0.131140947931
openoffice.org base,105,-0.573933063672,-0.401422723925,-0.136140588694,-0.0363697510528
percona server for mysql,106,-0.577321925084,-0.280772295773,-0.133504660054,-0.163044969258
kyoto cabinet,107,-0.580638293396,-0.401422723925,-0.135780559417,-0.0434350100541
apache phoenix,108,-0.586203106848,-0.115485207918,-0.132810317876,-0.337907581054
google fusion tables,109,-0.589717447885,-0.401422723925,-0.0983646416479,-0.0899300823125
wiredtiger,110,-0.594760001081,-0.186896090708,-0.129100942287,-0.278762968086
hawq,111,-0.59560975131,-0.279804510793,-0.133213749223,-0.182591491294
msql,112,-0.599910771555,-0.398099667571,-0.126124059862,-0.0756870441222
percona server for mongodb,113,-0.600764553763,-0.384292541197,-0.136307745145,-0.0801642674218
ingres,114,-0.610463186384,-0.395235763571,-0.132030472064,-0.0831969507488
ehcache,115,-0.62197196235,-0.401422723925,-0.0649795787122,-0.155569659713
cubicweb,116,-0.623956979284,-0.401422723925,-0.136397752464,-0.0861365028944
db4o,117,-0.630841189365,-0.401422723925,-0.124800643134,-0.104617822306
spark sql,118,-0.636209217836,-0.401422723925,-0.0722096755279,-0.162576818383
scalaris,119,-0.638511576691,-0.381827026276,-0.136294886956,-0.120389663459
accumulo,120,-0.644398734486,-0.278658196993,-0.127986135938,-0.237754401555
giraph,121,-0.648378094938,-0.247838653436,-0.132260883239,-0.268278558262
tajo,122,-0.657796812022,-0.350384845547,-0.136269170579,-0.171142795896
hgraphdb,123,-0.659381260382,-0.380051180136,-0.136423468841,-0.142906611405
warp 10,124,-0.661643017091,-0.38011194341,-0.134006129405,-0.147524944276
libreoffice base,125,-0.667551585765,-0.401422723925,-0.131916302693,-0.134212559147
kairosdb,126,-0.671223328093,-0.158426803858,-0.134941538986,-0.377854985249
riak kv,127,-0.671715278804,-0.274587842752,-0.13566483572,-0.261462600332
trafodion,128,-0.681876200773,-0.336978615585,-0.136320603333,-0.208576981854
greenplum,129,-0.688474560485,-0.396611340131,-0.124076115891,-0.167787104462
hsqldb,130,-0.688778328502,-0.401422723925,-0.0683142236895,-0.219041380887
