Library,Rank,Overall,Github,Stack Overflow,Google Results,Market Cap Value,Volume Over 30 Days
nano,25,-0.563482552854,0.175678790164,-0.213144467517,-0.113946330507,-0.180813016412,-0.231257528582
ethereum-classic,26,-0.591178526728,-0.152815824261,-0.199505633362,-0.150079687033,-0.11963172042,0.030854338348
binance-coin,27,-0.604945291793,0.0186361065115,-0.19578595132,-0.118743562452,-0.14359103605,-0.165460848482
steem,28,-0.612809815678,0.106946073817,-0.175947647094,-0.128295966991,-0.185605711712,-0.229906563698
lisk,29,-0.66733321975,0.196720019602,-0.180907223151,-0.289846566108,-0.163356078755,-0.229943371338
golem-network-tokens,30,-0.672476493897,0.194789813069,-0.213144467517,-0.262733481529,-0.201275531633,-0.190112826288
maker,31,-0.683603491739,-0.227045452062,-0.213144467517,0.210569726857,-0.194998779773,-0.258984519244
storm,32,-0.687892840973,-0.233454396378,-0.215624255545,0.133081888436,-0.218358830924,-0.153537246562
mithril,33,-0.722617314251,-0.233454396378,0.022435395159,-0.213334903728,-0.213079408216,-0.0851840010876
nem,34,-0.728213324443,-0.229845810634,0.249335999736,-0.475499740469,-0.0531658419884,-0.219037931087
populous,35,-0.739998281639,-0.226904980551,0.0732710497364,-0.14655886426,-0.189865155542,-0.249940331022
zilliqa,36,-0.745750650232,-0.149786343915,-0.214384361531,-0.063114976171,-0.164216189505,-0.15424877911
bitcoin-private,37,-0.794023906065,-0.171669207268,0.0149960310745,-0.178892499554,-0.200310861648,-0.25814736867
vechain,38,-0.79542267567,-0.227892137786,-0.213144467517,-0.116835569107,-0.0828198721741,-0.154730629086
ontology,39,-0.800893621937,-0.18602663314,-0.215624255545,-0.095829306568,-0.176098644376,-0.127314782308
bytom,40,-0.804007331611,-0.0634723646661,-0.210664679489,-0.199279542469,-0.190313255828,-0.140277489159
0x,41,-0.86697159704,-0.0801306223172,-0.215624255545,-0.158707503618,-0.184258249648,-0.228250965912
ark,42,-0.884823694543,-0.035272466338,-0.215624255545,-0.170585111011,-0.208957822776,-0.254384038872
bytecoin-bcn,43,-0.923957131298,-0.199972150518,-0.213144467517,-0.162290114607,-0.114189619889,-0.234360778766
aelf,44,-0.926462279086,-0.150445191111,-0.213144467517,-0.188058096315,-0.209201074834,-0.16561344931
aeternity,45,-0.939365447288,-0.133968525025,-0.215624255545,-0.198328667703,-0.168884488178,-0.222559510837
waves,46,-0.944652175174,-0.226051613478,-0.214384361531,-0.0914348862074,-0.193090702264,-0.219690611693
