toolkit,full_name,forks,stars,so_tag_counts,so_question_count,growth_rate,search_results
redis,antirez/redis,11167,28905,13480.0,23861.0,-0.20697954272,640000
redland,,0,0,39.0,62.0,2.31896551724,14600
redstore,njh/redstore,5,44,,2.0,-0.65,91
resin cache,,0,0,,17.0,1.0,17
rethinkdb,rethinkdb/rethinkdb,1680,21215,1298.0,1482.0,0.826666666667,8820
riak kv,basho/riak_kv,198,414,,61.0,0.833333333333,662
riak ts,basho/riak,498,2991,28.0,37.0,1.38461538462,403
rocksdb,facebook/rocksdb,2293,10498,127.0,220.0,0.937743190661,5510
rrdtool,octo/rrdtool,12,18,354.0,479.0,1.03846153846,8460
scalaris,scalaris-team/scalaris,20,101,,12.0,1.41717791411,2660
scidb,,0,0,4.0,8.0,0.443548387097,2000
scylladb,scylladb/scylla,483,4000,,18.0,1.82170542636,3300
sedna,sedna/sedna,2,4,19.0,41.0,6.35897435897,6300
senseidb,,0,0,,3.0,0.333333333333,145
sequoiadb,SequoiaDB/SequoiaDB,329,739,,1.0,5.04,4940
siridb,SiriDB/siridb-server,28,349,,0.0,0.545454545455,88
sisodb,danielwertheim/SisoDb-Provider,25,128,3.0,3.0,5.0,56
sitewhere,sitewhere/sitewhere,126,200,,5.0,-0.75,279
smallsql,,0,0,1.0,8.0,1.0,163
snappydata,SnappyDataInc/snappydata,127,717,100.0,100.0,1.2875,1140
solr,apache/lucene-solr,1333,1601,17022.0,19986.0,2.5873015873,221000
spark sql,,0,0,,4996.0,1.13725490196,26400
sphinx,sphinx-doc/sphinx,780,1851,2254.0,6393.0,1.18487394958,421000
sql.js,kripken/sql.js,491,4259,25.0,129.0,1.93181818182,1150
sqlite,,0,0,60959.0,60955.0,1.84803921569,752000
strabon,esarbanis/strabon,2,2,,2.0,0.44,611
stsdb,STSSoft/STSdb4,31,36,,5.0,4.0,663
swaydb,simerplaha/SwayDB,2,17,,0.0,4.0,7
tajo,apache/tajo,97,106,,14.0,1.18333333333,7440
tarantool,tarantool/tarantool,191,1865,72.0,79.0,1.13004484305,2620
tayzgrid,Alachisoft/TayzGrid,6,6,,0.0,-0.55,198
teradata,,0,0,3112.0,3586.0,3.32432432432,375000
tidb,pingcap/tidb,1773,13144,23.0,25.0,1.60416666667,4500
timescaledb,timescale/timescaledb,201,4718,22.0,25.0,1.55670103093,774
tinkergraph,,0,0,6.0,79.0,0.365853658537,478
tokyo cabinet,,0,0,77.0,132.0,0.232558139535,1110
tokyo tyrant,,0,0,25.0,52.0,2.33333333333,397
tomp2p,tomp2p/TomP2P,99,300,,8.0,5.0,76
torodb,torodb/torodb,1,7,2.0,3.0,0.411764705882,281
trafodion,apache/trafodion,115,160,,10.0,1.05555555556,637
txtsql,,0,0,,12.0,-0.538461538462,118
upscaledb,cruppstahl/upscaledb,43,399,,0.0,-0.428571428571,120
vertica,,0,0,878.0,1409.0,2.625,35100
virtuoso,openlink/virtuoso-opensource,137,470,403.0,581.0,1.4670487106,43600
voltdb,VoltDB/voltdb,325,1163,106.0,135.0,1.51898734177,5520
wakandadb,,0,0,,0.0,0.0,98
warp 10,cityzendata/warp10-platform,34,67,,190.0,1.3125,514
webscalesql,webscalesql/webscalesql-5.6,397,3032,,0.0,0.253333333333,1330
whitedb,priitj/whitedb,53,429,,0.0,-0.25,130
wiredtiger,wiredtiger/wiredtiger,202,1165,96.0,475.0,0.742765273312,4800
xapian,xapian/xapian,197,409,98.0,212.0,1.3309352518,2350
zodb,zopefoundation/ZODB,39,237,173.0,271.0,0.405660377358,1300
zookeeper,apache/zookeeper,2966,4354,,5231.0,0.833333333333,74300
