,index,package,github_repo,tags,search_terms,forks,stars,so_questions_counts,downloads,dl_growth_rates
54,54,d3-loom,nbremer/d3-loom,[d3-loom],[d3-loom],2,45,0,0,NA
55,55,d3-message-sequence,koudelka/d3-message-sequence,[d3-message-sequence],[d3-message-sequence],3,52,0,NA,NA
56,56,d3-nelson-rules,53seven/d3-nelson-rules,[d3-nelson-rules],[d3-nelson-rules],3,15,0,139,0.133861012351
57,57,d3-peaks,efekarakus/d3-peaks,[d3-peaks],[d3-peaks],1,43,0,61,0.0545093860581
58,58,d3-resume,glena/d3-resume,[d3-resume],[d3-resume],7,23,0,NA,NA
59,59,d3-ring-note,armollica/d3-ring-note,[d3-ring-note],[d3-ring-note],4,95,0,NA,NA
60,60,d3-scale-cluster,schnerd/d3-scale-cluster,[d3-scale-cluster],[d3-scale-cluster],1,70,0,775,-0.00631785714533
61,61,d3-sparql,zazuko/d3-sparql,[d3-sparql],[d3-sparql],0,23,0,0,NA
62,62,d3-starterkit,1wheel/d3-starterkit,[d3-starterkit],[d3-starterkit],22,121,0,NA,NA
63,63,d3-svg-circularbrush,emeeks/d3.svg.circularbrush,[d3-svg-circularbrush],[d3-svg-circularbrush],2,45,0,193,-0.129001866809
64,64,d3-svg-ribbon,emeeks/d3.svg.ribbon,[d3-svg-ribbon],[d3-svg-ribbon],1,19,0,89,0.0
65,65,d3-swoopy-drag,1wheel/swoopy-drag,[d3-swoopy-drag],[d3-swoopy-drag],12,100,0,428,-0.0344854701497
66,66,d3-timeline,jiahuang/d3-timeline,[d3-timeline],[d3-timeline],236,769,0,1118,-0.118179413172
67,67,d3-tip,Caged/d3-tip,[d3-tip],[d3-tip],285,940,0,173068,0.0637132659293
68,68,d3-tipy,tj/d3-tipy,[d3-tipy],[d3-tipy],2,83,0,708,-0.0464787140243
69,69,d3-trail,bmschmidt/D3-trail,[d3-trail],[d3-trail],8,124,0,NA,NA
70,70,d3-xray,vijithassar/d3-xray,[d3-xray],[d3-xray],2,23,0,NA,NA
71,71,d3.chart.sankey,q-m/d3.chart.sankey,[d3-chart-sankey],[d3.chart.sankey],23,65,0,351,-0.134079448258
72,72,d3.compose,CSNW/d3.compose,[d3-compose],[d3-compose],21,710,0,748,-0.018166446586
73,73,d3.geo2rect,sebastian-meier/d3.geo2rect,[d3.geo2rect],[d3.geo2rect],6,145,0,NA,NA
74,74,d3.sketchy,sebastian-meier/d3.sketchy,[d3.sketchy],[d3.sketchy],8,205,0,NA,NA
75,75,d3act,AnSavvides/d3act,[d3act],[d3act],28,290,0,1815,-0.00596429638756
76,76,d3fc,d3fc/d3fc,[d3fc],[d3fc],56,349,5,5342,-0.0562633649865
77,77,d3kit,twitter/d3kit,[d3kit],[d3kit],37,322,0,4180,0.119948902828
78,78,d3kit-timeline,kristw/d3kit-timeline,[d3kit-timeline],[d3kit-timeline],22,219,0,965,0.0085855284462
79,79,d3moji,mathisonian/d3moji,[d3moji],[d3moji],3,99,0,82,0.0699131939337
80,80,d3panels,kbroman/d3panels,[d3panels],[d3panels;d3-panels],2,24,78,NA,NA
81,81,d3pie,benkeen/d3pie,[d3pie.js],[d3pie;d3piejs],157,297,27,8689,0.11833398835
82,82,d3plus,alexandersimoes/d3plus,[d3plus],[d3plus],168,1306,49,7947,0.0858118813861
83,83,d3plus-text,d3plus/d3plus-text,[d3plus-text],[d3plus-text],3,26,0,5089,-0.0322005262437
84,84,d3scription,GlobalWebIndex/d3scription,[d3scription],[d3scription],1,23,0,1434,0.081079227132
85,85,d3slider,TimeMagazine/d3slider,[d3slider],[d3slider],0,2,0,60,NA
86,86,d3xter,NathanEpstein/D3xter,[d3xter],[d3xter],15,347,0,NA,NA
87,87,d4,heavysixer/d4,[d4],[d4],42,399,0,165,-0.0468157070031
88,88,dagre-d3,cpettitt/dagre-d3,[dagre-d3],[dagre],249,1038,32,36210,-0.0231925025936
89,89,datamaps,markmarkoh/datamaps,[datamaps],[datamaps],657,2419,71,72281,0.0108375273126
90,90,dc,dc-js/dc.js,[dc.js],[dcjs;dc.js;dc-js],1554,5776,1853,65422,-0.0022064607979
91,91,deck.gl,uber/deck.gl,[deck.gl],[deck.gl],383,3316,6,57605,0.205971518992
92,92,dimple,PMSI-AlignAlytics/dimple,[dimple.js],[dimple;dimplejs],489,2537,325,954,0.0149655083373
94,94,dragit,azinasili/dragit,[d3-dragit],[d3-dragit],0,0,0,461,NA
95,95,dtree,ErikGartner/dTree,[dtree],[d3-dtree],19,78,0,317,-0.0210802017466
96,96,dygraphs,danvk/dygraphs,[dygraphs],[dygraphs],490,2224,746,40067,0.078817452536
97,97,echarts,ecomfe/echarts,[echarts],[echarts;echartsjs],6147,19772,148,179641,0.210272050224
98,98,ejscharts,EmpriseCorporation/EJSCharts,[ejs-chart],[ejs-chart;ejscharts],19,23,28,188,NA
99,99,ember-charts,Addepar/ember-charts,[ember-charts],[ember-charts;embercharts],126,768,93,10356,0.19250355859
100,100,envision,HumbleSoftware/envisionjs,[envision.js],[envision.js],256,1565,1,286,-0.0351040222755
101,101,epoch-charting,epochjs/epoch,[epoch-charting],[epoch-charting],286,4861,0,1314,-0.0489457588281
102,102,eventDrops,marmelab/EventDrops,[eventdrops],[eventdrops],150,762,0,940,0.0184797553868
103,103,fancycharts,ahoiin/Fancycharts.js,[fancycharts],[fancycharts],7,90,0,NA,NA
104,104,firespray,boundary/firespray,[firespray],[firespray],12,84,0,NA,NA
105,105,flot,flot/flot,[flot],[flot;flotjs],1413,5413,2544,34492,0.131368852349
106,106,flotr2,HumbleSoftware/Flotr2,[flotr2],[flotr2],535,2414,32,439,0.463450121224
107,107,forest-d3,robinfhu/forest-d3,[forest-d3],[forest-d3],1,48,0,NA,NA
